,feature,Ranking
316,AFAP1,1
317,AFAP1L1,23
318,AFAP1L2,50
319,AFF1,39
320,AFF2,1
321,AFF3,31
322,AFF4,31
323,AFG3L2,40
324,AFM,27
325,AFMID,1
326,AFP,28
327,AFTPH,62
328,AGA,18
329,AGAP1,63
330,AGAP11,56
331,AGAP2,6
332,AGAP3,49
333,AGAP5,61
334,AGBL1,43
335,AGBL2,52
336,AGBL3,33
337,AGBL4,63
338,AGBL5,26
339,AGFG1,60
340,AGFG2,9
341,AGGF1,9
342,AGK,38
343,AGL,34
344,AGMAT,36
345,AGPAT2,56
346,AGPAT3,16
347,AGPAT4,34
348,AGPAT5,12
349,AGPS,51
350,AGR2,42
351,AGR3,16
352,AGRP,23
353,AGT,25
354,AGTPBP1,61
355,AGTR1,12
356,AGTR2,1
357,AGTRAP,33
358,AGXT,30
359,AGXT2,62
360,AHCTF1,33
361,AHCY,22
362,AHCYL1,43
363,AHCYL2,41
364,AHDC1,1
365,AHI1,14
366,AHNAK,31
367,AHNAK2,8
368,AHSA1,50
369,AHSA2,17
370,AHSG,29
371,AHSP,29
372,AICDA,41
373,AIDA,8
374,AIF1L,47
375,AIFM1,1
376,AIFM2,47
377,AIG1,54
378,AIM1,1
379,AIM1L,10
380,AIM2,31
381,AIMP1,59
382,AIMP2,20
383,AIP,1
384,AIPL1,1
385,AIRE,15
386,AJAP1,1
387,AK1,22
388,AK2,56
389,AK3,20
390,AK5,17
391,AK7,40
392,AKAP1,1
393,AKAP10,46
394,AKAP11,29
395,AKAP12,48
396,AKAP13,55
397,AKAP2,53
398,AKAP3,20
399,AKAP4,10
400,AKAP5,25
401,AKAP6,14
402,AKAP7,31
403,AKAP8,33
404,AKAP8L,32
405,AKAP9,35
406,AKIRIN1,51
407,AKIRIN2,53
408,AKNA,40
409,AKNAD1,53
410,AKR1A1,5
411,AKR1B1,31
412,AKR1B10,9
413,AKR1B15,19
414,AKR1C1,36
415,AKR1C2,1
416,AKR1C3,33
417,AKR1C4,1
418,AKR1D1,1
419,AKR1E2,7
420,AKR7A2,22
421,AKT1,29
422,AKT1S1,54
423,AKT2,38
424,AKT3,40
425,AKTIP,10
426,ALAD,47
427,ALAS1,61
428,ALAS2,1
429,ALB,16
430,ALCAM,26
431,ALDH16A1,60
432,ALDH18A1,63
433,ALDH1A1,58
434,ALDH1A2,22
435,ALDH1A3,47
436,ALDH1B1,42
437,ALDH1L1,38
438,ALDH1L2,14
439,ALDH3A1,13
440,ALDH3A2,23
441,ALDH3B1,4
442,ALDH4A1,13
443,ALDH5A1,7
444,ALDH6A1,48
445,ALDH7A1,47
446,ALDH8A1,26
447,ALDH9A1,45
448,ALDOB,9
449,ALG1,1
450,ALG11,5
451,ALG13,1
452,ALG14,4
453,ALG1L,24
454,ALG2,50
455,ALG3,48
456,ALG5,22
457,ALG6,1
458,ALG8,1
459,ALG9,38
460,ALK,13
461,ALKBH1,55
462,ALKBH2,8
463,ALKBH3,54
464,ALKBH5,22
465,ALKBH6,21
466,ALKBH8,21
467,ALLC,52
468,ALMS1,29
469,ALOX12,12
470,ALOX12B,43
471,ALOX15,39
472,ALOX15B,26
473,ALOX5,47
474,ALOX5AP,61
475,ALOXE3,56
476,ALPI,32
477,ALPK1,36
478,ALPK2,18
479,ALPK3,20
480,ALPL,51
481,ALS2,64
482,ALS2CL,60
483,ALS2CR11,19
484,ALS2CR12,57
485,ALX1,13
486,ALX3,64
487,ALX4,51
488,AMBN,59
489,AMBP,27
490,AMBRA1,44
491,AMD1,52
492,AMDHD1,1
493,AMDHD2,1
494,AMELX,8
495,AMFR,25
496,AMHR2,1
497,AMICA1,31
498,AMIGO1,60
499,AMIGO2,61
500,AMIGO3,60
501,AMMECR1,1
502,AMMECR1L,59
503,AMN,37
504,AMN1,1
505,AMOT,1
506,AMOTL1,1
507,AMOTL2,58
508,AMPD1,46
509,AMPD2,62
510,AMPD3,17
511,AMPH,1
512,AMT,58
513,AMTN,44
514,AMZ1,31
515,AMZ2,1
516,ANAPC1,59
517,ANAPC10,63
518,ANAPC11,52
519,ANAPC13,31
520,ANAPC16,6
521,ANAPC4,29
522,ANAPC5,54
523,ANAPC7,60
524,ANGEL1,38
525,ANGEL2,23
526,ANGPT1,1
527,ANGPT2,1
528,ANGPT4,10
529,ANGPTL1,18
530,ANGPTL2,46
531,ANGPTL3,1
532,ANGPTL5,1
533,ANGPTL6,46
534,ANGPTL7,54
535,ANK1,1
536,ANK2,64
537,ANK3,36
538,ANKAR,62
539,ANKDD1A,47
540,ANKFN1,16
541,ANKFY1,31
542,ANKH,24
543,ANKHD1,39
544,ANKHD1.EIF4EBP3,58
545,ANKIB1,48
546,ANKK1,3
547,ANKLE1,59
548,ANKMY1,57
549,ANKMY2,19
550,ANKRA2,51
551,ANKRD1,21
552,ANKRD10,1
553,ANKRD11,1
554,ANKRD12,20
555,ANKRD13A,56
556,ANKRD13B,1
557,ANKRD13C,11
558,ANKRD13D,1
559,ANKRD16,1
560,ANKRD17,30
561,ANKRD2,37
562,ANKRD22,63
563,ANKRD23,60
564,ANKRD24,33
565,ANKRD26,63
566,ANKRD27,32
567,ANKRD28,33
568,ANKRD29,5
569,ANKRD30A,57
570,ANKRD31,23
571,ANKRD34B,17
572,ANKRD34C,43
573,ANKRD37,25
574,ANKRD39,47
575,ANKRD40,1
576,ANKRD42,6
577,ANKRD44,62
578,ANKRD45,41
579,ANKRD46,15
580,ANKRD49,6
581,ANKRD50,28
582,ANKRD52,23
583,ANKRD53,55
584,ANKRD54,8
585,ANKRD55,24
586,ANKRD6,13
587,ANKRD7,16
588,ANKRD9,14
589,ANKS1A,48
590,ANKS1B,15
591,ANKS3,1
592,ANKS4B,47
593,ANKS6,58
594,ANKZF1,36
595,ANLN,44
596,ANO1,1
597,ANO10,63
598,ANO2,11
599,ANO3,34
600,ANO4,40
601,ANO5,16
602,ANO6,23
603,ANO7,57
604,ANO8,26
605,ANP32A,54
606,ANP32B,55
607,ANP32D,1
608,ANP32E,4
609,ANPEP,53
610,ANTXR1,19
611,ANTXR2,52
612,ANXA1,59
613,ANXA10,11
614,ANXA13,55
615,ANXA2,47
616,ANXA3,16
617,ANXA4,59
618,ANXA5,42
619,ANXA6,3
620,ANXA7,61
621,ANXA9,27
622,AOAH,1
623,AOC2,1
624,AOC3,1
625,AOX1,58
626,AP1AR,64
627,AP1B1,50
628,AP1G1,41
629,AP1G2,31
630,AP1M1,44
631,AP1M2,36
632,AP1S1,14
633,AP1S2,1
634,AP1S3,59
635,AP2A1,57
636,AP2A2,60
637,AP2B1,25
638,AP2M1,40
639,AP2S1,58
640,AP3B1,11
641,AP3B2,20
642,AP3D1,41
643,AP3M1,53
644,AP3M2,12
645,AP3S1,1
646,AP3S2,41
647,AP4B1,42
648,AP4E1,1
649,AP4M1,32
650,AP4S1,4
651,APAF1,3
652,APBA1,56
653,APBA3,51
654,APBB1,63
655,APBB1IP,16
656,APBB2,23
657,APBB3,63
658,APC,1
659,APC2,1
660,APCDD1,9
661,APCDD1L,16
662,APCS,20
663,APEH,58
664,APEX1,16
665,APEX2,5
666,APH1A,11
667,APH1B,54
668,API5,23
669,APIP,22
670,APITD1,21
671,APLN,1
672,APLNR,17
673,APLP1,27
674,APLP2,39
675,APOA1,30
676,APOA1BP,24
677,APOA2,27
678,APOA4,61
679,APOA5,29
680,APOB,1
681,APOBEC1,51
682,APOBEC2,40
683,APOBEC3C,25
684,APOBEC3D,4
685,APOBEC3F,9
686,APOBEC3G,22
687,APOBEC3H,1
688,APOBEC4,24
689,APOC1,36
690,APOC2,61
691,APOC3,15
692,APOC4,50
693,APOE,58
694,APOF,14
695,APOH,3
696,APOL4,44
697,APOL5,41
698,APOLD1,27
699,APOO,1
700,APP,1
701,APPBP2,1
702,APPL1,39
703,APPL2,7
704,APTX,1
705,AQP1,15
706,AQP10,11
707,AQP11,7
708,AQP2,1
709,AQP3,58
710,AQP4,1
711,AQP5,9
712,AQP6,1
713,AQP7,37
714,AQP8,14
715,AQP9,52
716,AQR,53
717,AR,2
718,ARAF,2
719,ARAP1,2
720,ARAP2,1
721,ARAP3,19
722,ARCN1,47
723,ARF1,22
724,ARF3,2
725,ARF4,59
726,ARF5,46
727,ARFGAP1,3
728,ARFGAP3,22
729,ARFGEF1,43
730,ARFGEF2,36
731,ARFIP1,57
732,ARFIP2,61
733,ARG1,1
734,ARG2,48
735,ARGFX,38
736,ARGLU1,18
737,ARHGAP1,59
738,ARHGAP10,64
739,ARHGAP11A,20
740,ARHGAP12,30
741,ARHGAP15,25
742,ARHGAP17,38
743,ARHGAP18,40
744,ARHGAP19,41
745,ARHGAP20,51
746,ARHGAP21,11
747,ARHGAP22,1
748,ARHGAP23,1
749,ARHGAP24,36
750,ARHGAP25,44
751,ARHGAP26,38
752,ARHGAP27,14
753,ARHGAP28,35
754,ARHGAP29,34
755,ARHGAP30,62
756,ARHGAP31,37
757,ARHGAP32,23
758,ARHGAP33,15
759,ARHGAP36,1
760,ARHGAP4,1
761,ARHGAP42,3
762,ARHGAP5,2
763,ARHGAP6,4
764,ARHGAP8,5
765,ARHGAP9,34
766,ARHGDIB,27
767,ARHGEF1,42
768,ARHGEF10,38
769,ARHGEF10L,44
770,ARHGEF11,43
771,ARHGEF12,38
772,ARHGEF15,24
773,ARHGEF16,1
774,ARHGEF17,1
775,ARHGEF18,54
776,ARHGEF19,3
777,ARHGEF2,28
778,ARHGEF3,27
779,ARHGEF33,21
780,ARHGEF37,50
781,ARHGEF38,31
782,ARHGEF4,35
783,ARHGEF6,1
784,ARHGEF7,5
785,ARHGEF9,1
786,ARID1A,31
787,ARID1B,62
788,ARID2,1
789,ARID3A,20
790,ARID3B,17
791,ARID3C,19
792,ARID4A,53
793,ARID4B,1
794,ARID5A,27
795,ARID5B,56
796,ARIH1,54
797,ARIH2,28
798,ARL1,23
799,ARL10,45
800,ARL11,54
801,ARL13A,1
802,ARL13B,1
803,ARL14,12
804,ARL15,32
805,ARL16,15
806,ARL2BP,1
807,ARL3,59
808,ARL4A,18
809,ARL4C,33
810,ARL5A,59
811,ARL5B,27
812,ARL5C,1
813,ARL6,45
