,feature,Ranking
316,AFAP1,103
317,AFAP1L1,133
318,AFAP1L2,134
319,AFF1,107
320,AFF2,25
321,AFF3,141
322,AFF4,112
323,AFG3L2,70
324,AFM,149
325,AFMID,32
326,AFP,18
327,AFTPH,22
328,AGA,38
329,AGAP1,117
330,AGAP11,137
331,AGAP2,13
332,AGAP3,135
333,AGAP5,121
334,AGBL1,69
335,AGBL2,142
336,AGBL3,116
337,AGBL4,75
338,AGBL5,56
339,AGFG1,123
340,AGFG2,36
341,AGGF1,37
342,AGK,21
343,AGL,31
344,AGMAT,27
345,AGPAT2,142
346,AGPAT3,73
347,AGPAT4,110
348,AGPAT5,53
349,AGPS,101
350,AGR2,106
351,AGR3,134
352,AGRP,138
353,AGT,67
354,AGTPBP1,105
355,AGTR1,36
356,AGTR2,1
357,AGTRAP,33
358,AGXT,61
359,AGXT2,62
360,AHCTF1,78
361,AHCY,56
362,AHCYL1,102
363,AHCYL2,117
364,AHDC1,11
365,AHI1,120
366,AHNAK,112
367,AHNAK2,32
368,AHSA1,85
369,AHSA2,106
370,AHSG,116
371,AHSP,123
372,AICDA,56
373,AIDA,55
374,AIF1L,143
375,AIFM1,1
376,AIFM2,82
377,AIG1,34
378,AIM1,15
379,AIM1L,52
380,AIM2,57
381,AIMP1,105
382,AIMP2,38
383,AIP,3
384,AIPL1,10
385,AIRE,76
386,AJAP1,24
387,AK1,81
388,AK2,122
389,AK3,52
390,AK5,28
391,AK7,121
392,AKAP1,79
393,AKAP10,21
394,AKAP11,143
395,AKAP12,107
396,AKAP13,78
397,AKAP2,64
398,AKAP3,88
399,AKAP4,37
400,AKAP5,91
401,AKAP6,53
402,AKAP7,48
403,AKAP8,106
404,AKAP8L,110
405,AKAP9,138
406,AKIRIN1,110
407,AKIRIN2,94
408,AKNA,33
409,AKNAD1,130
410,AKR1A1,65
411,AKR1B1,108
412,AKR1B10,50
413,AKR1B15,106
414,AKR1C1,40
415,AKR1C2,15
416,AKR1C3,25
417,AKR1C4,88
418,AKR1D1,34
419,AKR1E2,16
420,AKR7A2,120
421,AKT1,113
422,AKT1S1,26
423,AKT2,90
424,AKT3,129
425,AKTIP,33
426,ALAD,113
427,ALAS1,123
428,ALAS2,33
429,ALB,38
430,ALCAM,96
431,ALDH16A1,90
432,ALDH18A1,126
433,ALDH1A1,120
434,ALDH1A2,96
435,ALDH1A3,85
436,ALDH1B1,48
437,ALDH1L1,84
438,ALDH1L2,115
439,ALDH3A1,53
440,ALDH3A2,29
441,ALDH3B1,32
442,ALDH4A1,138
443,ALDH5A1,125
444,ALDH6A1,116
445,ALDH7A1,34
446,ALDH8A1,127
447,ALDH9A1,116
448,ALDOB,116
449,ALG1,75
450,ALG11,95
451,ALG13,13
452,ALG14,78
453,ALG1L,99
454,ALG2,53
455,ALG3,52
456,ALG5,31
457,ALG6,4
458,ALG8,4
459,ALG9,72
460,ALK,54
461,ALKBH1,65
462,ALKBH2,125
463,ALKBH3,75
464,ALKBH5,20
465,ALKBH6,44
466,ALKBH8,80
467,ALLC,119
468,ALMS1,148
469,ALOX12,65
470,ALOX12B,115
471,ALOX15,70
472,ALOX15B,132
473,ALOX5,22
474,ALOX5AP,47
475,ALOXE3,66
476,ALPI,107
477,ALPK1,147
478,ALPK2,34
479,ALPK3,119
480,ALPL,142
481,ALS2,124
482,ALS2CL,147
483,ALS2CR11,75
484,ALS2CR12,86
485,ALX1,42
486,ALX3,70
487,ALX4,133
488,AMBN,97
489,AMBP,122
490,AMBRA1,78
491,AMD1,61
492,AMDHD1,28
493,AMDHD2,2
494,AMELX,15
495,AMFR,86
496,AMHR2,114
497,AMICA1,42
498,AMIGO1,144
499,AMIGO2,36
500,AMIGO3,42
501,AMMECR1,14
502,AMMECR1L,41
503,AMN,65
504,AMN1,5
505,AMOT,12
506,AMOTL1,48
507,AMOTL2,149
508,AMPD1,114
509,AMPD2,95
510,AMPD3,99
511,AMPH,4
512,AMT,94
513,AMTN,147
514,AMZ1,55
515,AMZ2,4
516,ANAPC1,73
517,ANAPC10,106
518,ANAPC11,60
519,ANAPC13,130
520,ANAPC16,73
521,ANAPC4,107
522,ANAPC5,57
523,ANAPC7,78
524,ANGEL1,112
525,ANGEL2,113
526,ANGPT1,4
527,ANGPT2,23
528,ANGPT4,64
529,ANGPTL1,49
530,ANGPTL2,96
531,ANGPTL3,5
532,ANGPTL5,45
533,ANGPTL6,70
534,ANGPTL7,87
535,ANK1,19
536,ANK2,28
537,ANK3,111
538,ANKAR,91
539,ANKDD1A,103
540,ANKFN1,30
541,ANKFY1,54
542,ANKH,40
543,ANKHD1,107
544,ANKHD1.EIF4EBP3,104
545,ANKIB1,106
546,ANKK1,9
547,ANKLE1,78
548,ANKMY1,38
549,ANKMY2,61
550,ANKRA2,91
551,ANKRD1,81
552,ANKRD10,3
553,ANKRD11,7
554,ANKRD12,64
555,ANKRD13A,121
556,ANKRD13B,13
557,ANKRD13C,52
558,ANKRD13D,24
559,ANKRD16,15
560,ANKRD17,105
561,ANKRD2,136
562,ANKRD22,98
563,ANKRD23,112
564,ANKRD24,74
565,ANKRD26,114
566,ANKRD27,145
567,ANKRD28,129
568,ANKRD29,59
569,ANKRD30A,107
570,ANKRD31,31
571,ANKRD34B,25
572,ANKRD34C,97
573,ANKRD37,66
574,ANKRD39,103
575,ANKRD40,23
576,ANKRD42,20
577,ANKRD44,113
578,ANKRD45,128
579,ANKRD46,59
580,ANKRD49,58
581,ANKRD50,134
582,ANKRD52,68
583,ANKRD53,66
584,ANKRD54,72
585,ANKRD55,12
586,ANKRD6,114
587,ANKRD7,88
